title,employer,location,city,state,salary_min,salary_max,source,url,posted_date,status
Physician - Primary Care (Clinical Resource Hub),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,200000.0,300000.0,usajobs,https://www.usajobs.gov:443/job/854840200,2026-01-20T08:07:39.9930,active
Medical Records Technician (Coder - Inpatient/Outpatient),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,36409.0,90814.0,usajobs,https://www.usajobs.gov:443/job/854866800,2026-01-20T10:49:35.6800,active
LEAD MEDICAL RECORDS TECHNICIAN(Outpatient and Inpatient),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,61722.0,80243.0,usajobs,https://www.usajobs.gov:443/job/854869000,2026-01-20T10:58:37.5470,active
Library Technician,"Commander, Navy Installations","Atsugi Naval Air Facility, Japan","Atsugi Naval Air Facility, Japan",,17.25,17.25,usajobs,https://www.usajobs.gov:443/job/854418200,2026-01-14T00:00:00.0000,active
Child and Youth Program Custodian,"Commander, Navy Installations Command","Atsugi Naval Air Facility, Japan","Atsugi Naval Air Facility, Japan",,17.6,17.6,usajobs,https://www.usajobs.gov:443/job/854834200,2026-01-20T00:00:00.0000,active
Child Youth Program Assistant (Flex),"Commander, Navy Installations Command","Atsugi Naval Air Facility, Japan","Atsugi Naval Air Facility, Japan",,18.52,21.57,usajobs,https://www.usajobs.gov:443/job/854834400,2026-01-20T00:00:00.0000,active
Club Operations Assistant,"Commander, Navy Installations","Atsugi, Japan","Atsugi, Japan",,17.5,20.0,usajobs,https://www.usajobs.gov:443/job/854129400,2026-01-13T00:00:00.0000,active
Speech/Language Pathologist (EDIS),Military Treatment Facilities under DHA,"Atsugi, Japan","Atsugi, Japan",,76463.0,99404.0,usajobs,https://www.usajobs.gov:443/job/853726800,2026-01-07T00:00:00.0000,active
MANAGEMENT ANALYST,"Commander, Navy Installations","Australia, Australia","Australia, Australia",,63795.0,82938.0,usajobs,https://www.usajobs.gov:443/job/854733100,2026-01-16T08:26:46.2600,active
Recreation Assistant (Golf Course),"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,15.75,15.75,usajobs,https://www.usajobs.gov:443/job/853877500,2026-01-08T08:49:56.7330,active
Recreation Assistant (Skills Development - Engraving),"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,15.75,15.75,usajobs,https://www.usajobs.gov:443/job/854005100,2026-01-09T05:44:01.1400,active
Lead Cashier,"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,15.75,15.75,usajobs,https://www.usajobs.gov:443/job/854016500,2026-01-09T08:42:25.9630,active
Guest Services Representative,"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,15.0,15.0,usajobs,https://www.usajobs.gov:443/job/854130500,2026-01-12T05:42:06.6030,active
Youth Sports and Fitness Assistant (Equipment & Facilities),"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,16.05,16.05,usajobs,https://www.usajobs.gov:443/job/854147300,2026-01-12T09:25:13.0470,active
UNIT PROGRAM COORDINATOR,"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,43106.0,56039.0,usajobs,https://www.usajobs.gov:443/job/854323400,2026-01-15T00:00:00.0000,active
Recreation Aid (Bowling),"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,15.0,15.0,usajobs,https://www.usajobs.gov:443/job/854445800,2026-01-14T09:38:55.8470,active
Bartender,"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,20.11,20.11,usajobs,https://www.usajobs.gov:443/job/854567200,2026-01-15T05:01:28.9870,active
Cook,"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,20.95,20.95,usajobs,https://www.usajobs.gov:443/job/854600000,2026-01-15T10:09:17.8330,active
Child and Youth Program Assistant (Job Fair),"U.S. Air Forces, Europe","Aviano, Italy","Aviano, Italy",,18.51,20.8,usajobs,https://www.usajobs.gov:443/job/854832100,2026-01-19T15:10:23.2870,active
SUPERVISORY FIREFIGHTER,"Commander, Navy Installations","Bahrain Island, Bahrain","Bahrain Island, Bahrain",,52727.0,68549.0,usajobs,https://www.usajobs.gov:443/job/853520200,2026-01-05T00:00:00.0000,active
Secretary (Office Automation),Defense Commissary Agency,"Baumholder, Germany","Baumholder, Germany",,38791.0,50428.0,usajobs,https://www.usajobs.gov:443/job/854433500,2026-01-15T00:00:00.0000,active
Dental Assistant,Military Treatment Facilities under DHA,"Baumholder, Germany","Baumholder, Germany",,37937.0,48377.0,usajobs,https://www.usajobs.gov:443/job/854129600,2026-01-12T00:00:00.0000,active
Child and Youth Program Assistant CY-01/02,United States Army Installation Management Command,"Baumholder, Germany","Baumholder, Germany",,18.51,21.7,usajobs,https://www.usajobs.gov:443/job/853959000,2026-01-08T14:42:21.6970,active
"Public Notice for General Inspection, Investigation, Enforcement, and Compliance (Direct Hire)",Federal Aviation Administration,"Belgium, Belgium","Belgium, Belgium",,52998.0,172257.0,usajobs,https://www.usajobs.gov:443/job/853256200,2025-12-30T00:00:00.0000,active
Aerospace Engineer (Instructor) (Temporary Opportunity ),Federal Aviation Administration,"Belgium, Belgium","Belgium, Belgium",,94544.0,146571.0,usajobs,https://www.usajobs.gov:443/job/854542900,2026-01-15T00:00:00.0000,active
Supervisory Aviation Safety Inspector,Federal Aviation Administration,"Belgium, Belgium","Belgium, Belgium",,110673.0,214492.0,usajobs,https://www.usajobs.gov:443/job/854802900,2026-01-19T00:00:00.0000,active
Child and Youth Program Assistant CY-01/02,United States Army Installation Management Command,"Brunssum, Netherlands","Brunssum, Netherlands",,18.51,21.7,usajobs,https://www.usajobs.gov:443/job/853432400,2026-01-02T00:00:00.0000,active
Child and Youth Program Assistant CY-01/02,United States Army Installation Management Command,"Brussels, Belgium","Brussels, Belgium",,18.51,21.7,usajobs,https://www.usajobs.gov:443/job/853432600,2026-01-02T00:00:00.0000,active
Recreation Aid (Facility Aid) NF-01,United States Army Installation Management Command,"Brussels, Belgium","Brussels, Belgium",,16.63,17.01,usajobs,https://www.usajobs.gov:443/job/854374000,2026-01-13T00:00:00.0000,active
SUPERVISORY TRAFFIC MANAGEMENT SPECIALIST,U.S. Army Military Surface Deployment and Distribution Command,"Camp Arifjan, Kuwait","Camp Arifjan, Kuwait",,107446.0,139684.0,usajobs,https://www.usajobs.gov:443/job/854470000,2026-01-14T11:19:21.7700,active
Clinical Psychologist,Military Treatment Facilities under DHA,"Camp Carroll, South Korea","Camp Carroll, South Korea",,90925.0,118204.0,usajobs,https://www.usajobs.gov:443/job/853512700,2026-01-04T00:00:00.0000,active
"TRAINING AND CURRICULUM SPECIALIST, NF-04/RFT, CHURA WARABI CDC, CAMP COURTNEY",U.S. Marine Corps,"Camp Courtney Okinawa, Japan","Camp Courtney Okinawa, Japan",,26.18,26.18,usajobs,https://www.usajobs.gov:443/job/853609000,2026-01-06T00:00:00.0000,active
Nurse (Inpatient Clinical/Obstetrics-Gynecology),Military Treatment Facilities under DHA,"Camp Foster, Japan","Camp Foster, Japan",,76463.0,99404.0,usajobs,https://www.usajobs.gov:443/job/854250600,2026-01-13T00:00:00.0000,active
"CHILD & YOUTH PROGRAM ASSISTANT (CDC), CY-01/02/RFT, ALL CAMPS",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,19.48,21.89,usajobs,https://www.usajobs.gov:443/job/853108100,2026-01-15T00:00:00.0000,active
"CHILD & YOUTH PROGRAM ASSISTANT (SAC), CY-01/02/RPT, ALL CAMPS",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,19.48,21.89,usajobs,https://www.usajobs.gov:443/job/853108200,2026-01-15T00:00:00.0000,active
"CHILD DEVELOPMENT CENTER DIRECTOR, NF-04/RFT, YUIMARU CDC, CAMP KINSER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,37.48,40.0,usajobs,https://www.usajobs.gov:443/job/853288300,2025-12-30T00:00:00.0000,active
"CLUB OPERATIONS SHIFT LEADER, NF-02/FLX, CAMP KINSER (SURFSIDE)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,16.0,17.0,usajobs,https://www.usajobs.gov:443/job/853605500,2026-01-06T00:00:00.0000,active
"WARR TECHNICIAN, NF-02/03/RFT, HEALTH PROMOTION, CAMP HANSEN",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,16.0,18.0,usajobs,https://www.usajobs.gov:443/job/853732700,2026-01-07T00:00:00.0000,active
"CDC ASSISTANT DIRECTOR, NF-04/RFT, YUIMARU CDC, CAMP KINSER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,30.26,30.26,usajobs,https://www.usajobs.gov:443/job/853733000,2026-01-07T00:00:00.0000,active
"MOTOR VEHICLE OPERATOR/HEAVY MOTOR VEHICLE OPERATOR, NA-05/07/08/RFT, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,20.11,22.63,usajobs,https://www.usajobs.gov:443/job/853734500,2026-01-07T00:00:00.0000,active
"CLUB ADMINISTRATIVE ASSISTANT, NF-02/RFT, CAMP FOSTER (OCEAN BREEZE)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,16.0,17.0,usajobs,https://www.usajobs.gov:443/job/853735100,2026-01-07T00:00:00.0000,active
"FAP CLINICAL COUNSELOR, NF-04/RFT, CAMP FOSTER, OKINAWA, JAPAN",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,25.01,32.73,usajobs,https://www.usajobs.gov:443/job/853862700,2026-01-08T00:00:00.0000,active
"CLUB OPERATIONS SHIFT LEADER, NF-02/RFT, CAMP FOSTER (TERRA)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,16.0,16.01,usajobs,https://www.usajobs.gov:443/job/853862900,2026-01-08T00:00:00.0000,active
"HOUSEKEEPING MANAGER, NF-03/RFT, INNS OF THE CORPS CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,17.0,19.5,usajobs,https://www.usajobs.gov:443/job/854002000,2026-01-09T00:00:00.0000,active
"CHILD & YOUTH PROGRAM ASSISTANT (CDC), CY-01/02/RPT, ALL CAMPS",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,19.48,21.89,usajobs,https://www.usajobs.gov:443/job/854127600,2026-01-15T00:00:00.0000,active
"RECREATION ASSISTANT (BOWLING), NF-02/RFT, CAMP SCHWAB",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,16.0,17.0,usajobs,https://www.usajobs.gov:443/job/854128300,2026-01-12T00:00:00.0000,active
"ENTERTAINMENT COORDINATOR, NF-03/RFT, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,17.0,20.0,usajobs,https://www.usajobs.gov:443/job/854128900,2026-01-12T00:00:00.0000,active
"FOOD AND BEVERAGE MANAGER, NF-03/RFT, CAMP HANSEN (PALMS)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,17.0,19.0,usajobs,https://www.usajobs.gov:443/job/854129300,2026-01-12T00:00:00.0000,active
"ADMINISTRATIVE SPECIALIST, NF-03/RFT, CAMP SCHWAB (BEACH HEAD)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,17.0,19.0,usajobs,https://www.usajobs.gov:443/job/854256400,2026-01-13T00:00:00.0000,active
"MCFTB TRAINER, NF-04/RFT, FAMILY READINESS SERVICES, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,25.01,25.01,usajobs,https://www.usajobs.gov:443/job/854256500,2026-01-13T00:00:00.0000,active
ADJUTANT,U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,76463.0,99404.0,usajobs,https://www.usajobs.gov:443/job/854350600,2026-01-13T13:47:02.4570,active
"RECREATION ATTENDANT/ASSISTANT, NF-01/02/RFT, MCCS ATHLETICS, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,15.0,16.0,usajobs,https://www.usajobs.gov:443/job/854411500,2026-01-14T00:00:00.0000,active
"SUPERVISORY WARR TECHNICIAN, NF-04/RFT, HEALTH PROMOTION, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,25.01,26.01,usajobs,https://www.usajobs.gov:443/job/854412900,2026-01-14T00:00:00.0000,active
"PERSONAL AND PROFESSIONAL DEVELOPMENT PROGRAM ADVISOR (EDUCATION PROGRAM), NF-04/RFT, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,25.01,25.01,usajobs,https://www.usajobs.gov:443/job/854565900,2026-01-15T00:00:00.0000,active
SUPERVISORY SUPPLY MANAGEMENT SPECIALIST,U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,63795.0,82938.0,usajobs,https://www.usajobs.gov:443/job/854602400,2026-01-16T00:00:00.0000,active
"COOK, NA-06/RFT, CAMP FOSTER (TERRA)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,20.95,20.95,usajobs,https://www.usajobs.gov:443/job/854721700,2026-01-16T00:00:00.0000,active
"WAITSTAFF, NA-03/FLX, CAMP FOSTER (OCEAN BREEZE)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,18.44,18.44,usajobs,https://www.usajobs.gov:443/job/854722700,2026-01-16T00:00:00.0000,active
EQUAL EMPLOYMENT MANAGER,U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,90925.0,118204.0,usajobs,https://www.usajobs.gov:443/job/854794500,2026-01-20T00:00:00.0000,active
"ADMINISTRATIVE ASSISTANT, NF-02/RFT, CAMP FOSTER (RETAIL OPERATIONS)",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,16.0,17.0,usajobs,https://www.usajobs.gov:443/job/854833000,2026-01-20T00:00:00.0000,active
"TRAINING AND CURRICULUM SPECIALIST, NF-04/RFT, ASHIBINA CDC, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,26.19,26.19,usajobs,https://www.usajobs.gov:443/job/854833100,2026-01-20T00:00:00.0000,active
"SPECIAL EVENTS COORDINATOR, NF-03/RFT, CAMP FOSTER",U.S. Marine Corps,"Camp Foster, Japan","Camp Foster, Japan",,17.0,19.0,usajobs,https://www.usajobs.gov:443/job/854833400,2026-01-20T00:00:00.0000,active
TELECOMMUNICATIONS SPECIALIST (CYBER),Defense Information Systems Agency,"Camp Humphreys, South Korea","Camp Humphreys, South Korea",,130536.0,174051.0,usajobs,https://www.usajobs.gov:443/job/854015400,2026-01-12T00:00:00.0000,active
Optometrist (Clinical),Military Treatment Facilities under DHA,"Camp Humphreys, South Korea","Camp Humphreys, South Korea",,76463.0,99404.0,usajobs,https://www.usajobs.gov:443/job/853463500,2026-01-01T00:00:00.0000,active
SAFETY & OCCUPATIONAL HEALTH SPECIALIST,"Commander, Navy Installations","Capodichino, Italy","Capodichino, Italy",,63795.0,82938.0,usajobs,https://www.usajobs.gov:443/job/854526600,2026-01-15T00:00:00.0000,active
FUTURE OPERATIONS SUPERVISOR,United States Fleet Forces Command,"Capodichino, Italy","Capodichino, Italy",,126384.0,164301.0,usajobs,https://www.usajobs.gov:443/job/854555600,2026-01-14T17:27:48.1130,active
SECURITY SPECIALIST (ANTITERRORISM),"Commander, Navy Installations","Chinhae, South Korea","Chinhae, South Korea",,76463.0,99404.0,usajobs,https://www.usajobs.gov:443/job/854101800,2026-01-12T00:00:00.0000,active
IT SPECIALIST (PLCYPLN),Defense Information Systems Agency,"Corsham, United Kingdom","Corsham, United Kingdom",,106382.0,138296.0,usajobs,https://www.usajobs.gov:443/job/854034500,2026-01-10T00:00:00.0000,active
Computer Operator (Developmental),"U.S. Air Forces, Europe","Croughton, United Kingdom","Croughton, United Kingdom",,16.75,17.8,usajobs,https://www.usajobs.gov:443/job/854130000,2026-01-09T00:00:00.0000,active
Secretary (Office Automation),Department of Defense Education Activity,"Feltwell, United Kingdom","Feltwell, United Kingdom",,38791.0,50428.0,usajobs,https://www.usajobs.gov:443/job/854348600,2026-01-14T00:00:00.0000,active
"Cook, NA-04/RPL",United States Army Installation Management Command,"Garmisch, Germany","Garmisch, Germany",,19.28,19.28,usajobs,https://www.usajobs.gov:443/job/853110600,2025-12-29T00:00:00.0000,active
"Food and Beverage Attendant, NA-01/RPL",United States Army Installation Management Command,"Garmisch, Germany","Garmisch, Germany",,16.77,16.77,usajobs,https://www.usajobs.gov:443/job/853110900,2025-12-29T00:00:00.0000,active
"Laborer (Special Events), NA-02/RPL",United States Army Installation Management Command,"Garmisch, Germany","Garmisch, Germany",,17.6,17.6,usajobs,https://www.usajobs.gov:443/job/853111100,2025-12-29T00:00:00.0000,active
"Hotel Dining Room Manager, NF-03/RFL",United States Army Installation Management Command,"Garmisch, Germany","Garmisch, Germany",,45000.0,48000.0,usajobs,https://www.usajobs.gov:443/job/853513600,2026-01-05T04:51:52.2770,active
Materials Handler,Defense Logistics Agency,"Germersheim, Germany","Germersheim, Germany",,23.74,27.69,usajobs,https://www.usajobs.gov:443/job/854727700,2026-01-16T07:38:32.7800,active
Transportation Assistant (Office Automation),Defense Logistics Agency,"Germersheim, Germany","Germersheim, Germany",,43106.0,56039.0,usajobs,https://www.usajobs.gov:443/job/854729900,2026-01-16T07:55:03.7270,active
Distribution Process Worker,Defense Logistics Agency,"Germersheim, Germany","Germersheim, Germany",,23.74,27.69,usajobs,https://www.usajobs.gov:443/job/854733200,2026-01-16T08:26:47.3470,active
Child and Youth Program Assistant CY-01/02,United States Army Installation Management Command,"Grafenwohr, Germany","Grafenwohr, Germany",,18.52,22.07,usajobs,https://www.usajobs.gov:443/job/853997000,2026-01-08T00:00:00.0000,active
CYS Training Specialist NF-04,United States Army Installation Management Command,"Grafenwohr, Germany","Grafenwohr, Germany",,51332.0,53465.0,usajobs,https://www.usajobs.gov:443/job/854142500,2026-01-12T00:00:00.0000,active
Supervisory Librarian NF-04,United States Army Installation Management Command,"Grafenwohr, Germany","Grafenwohr, Germany",,55000.0,70000.0,usajobs,https://www.usajobs.gov:443/job/854306700,2026-01-13T11:01:48.8430,active
Hotel Customer Service Agent NF-02,United States Army Installation Management Command,"Grafenwohr, Germany","Grafenwohr, Germany",,16.49,21.32,usajobs,https://www.usajobs.gov:443/job/854604800,2026-01-15T10:33:35.1630,active
Work and Family Life Coordinator,"Commander, Navy Installations","Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",,52727.0,56243.0,usajobs,https://www.usajobs.gov:443/job/854321800,2026-01-14T00:00:00.0000,active
SAFETY AND OCCUPATIONAL HEALTH SPECIALIST,"Commander, Navy Installations","Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",,63163.0,82108.0,usajobs,https://www.usajobs.gov:443/job/854425900,2026-01-14T08:06:29.9070,active
Community Recreation Director,"Commander, Navy Installations","Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",,34.0,39.0,usajobs,https://www.usajobs.gov:443/job/854493700,2026-01-14T13:07:30.9930,active
Financial Technician,Military Treatment Facilities under DHA,"Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",,38791.0,50428.0,usajobs,https://www.usajobs.gov:443/job/854639700,2026-01-16T00:00:00.0000,active
TRANSPORTATION ASSISTANT (QA INSPECTOR/COUNSELOR),Naval Supply Systems Command,"Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",,43106.0,56039.0,usajobs,https://www.usajobs.gov:443/job/854516800,2026-01-14T14:32:03.0230,active
Security Specialist,Washington Headquarters Services,"Guantanamo Bay, Cuba","Guantanamo Bay, Cuba",,63795.0,82938.0,usajobs,https://www.usajobs.gov:443/job/854619000,2026-01-15T11:26:30.0630,active
Food and Beverage Attendant NA-01,United States Army Installation Management Command,"Hohenfels, Germany","Hohenfels, Germany",,16.77,19.57,usajobs,https://www.usajobs.gov:443/job/853516200,2026-01-05T00:00:00.0000,active
Program Associate (Pre-Kindergarten) NF-03,United States Army Installation Management Command,"Hohenfels, Germany","Hohenfels, Germany",,46045.0,48400.0,usajobs,https://www.usajobs.gov:443/job/853996700,2026-01-08T17:33:45.2900,active
Library Technician NF-03,United States Army Installation Management Command,"Hohenfels, Germany","Hohenfels, Germany",,32500.0,35000.0,usajobs,https://www.usajobs.gov:443/job/854038400,2026-01-09T10:42:49.0900,active
Custodial Worker NA-01,United States Army Installation Management Command,"Hohenfels, Germany","Hohenfels, Germany",,16.77,19.57,usajobs,https://www.usajobs.gov:443/job/854257900,2026-01-13T04:39:51.9370,active
SUPERVISORY MILITARY AND FAMILY READINESS SPECIALIST,"U.S. Air Forces, Europe","Incirlik, Turkey","Incirlik, Turkey",,76463.0,99404.0,usajobs,https://www.usajobs.gov:443/job/854674900,2026-01-16T00:00:00.0000,active
CYP TRAINING & CURRICULUM SPECIALIST NF-04 RFT WWH,U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,52020.8,58968.0,usajobs,https://www.usajobs.gov:443/job/853608700,2026-01-05T00:00:00.0000,active
MILITARY CLASSIFICATION TESTING OFFICER NF-03 RPT (LOCAL COMMUTING AREA),U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,19.0,20.0,usajobs,https://www.usajobs.gov:443/job/853999600,2026-01-08T18:42:46.9400,active
CHILD & YOUTH PROGRAM ASSISTANT (CDC) CY-01 (GSE-02) RFT (LCA ONLY)(OPEN UNTIL FILLED),U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,19.29,19.29,usajobs,https://www.usajobs.gov:443/job/854128400,2026-01-11T00:00:00.0000,active
INTRAMURAL SPORTS COORDINATOR NF-03 RFT (LCA ONLY),U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,19.0,20.0,usajobs,https://www.usajobs.gov:443/job/854128600,2026-01-11T00:00:00.0000,active
ADMINISTRATIVE SUPPORT ASSISTANT (MIL/OA),U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,37937.0,48377.0,usajobs,https://www.usajobs.gov:443/job/854527300,2026-01-15T00:00:00.0000,active
CLUB OPERATIONS MANAGER NF-03 RFT (ALL SOURCES),U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,20.0,22.65,usajobs,https://www.usajobs.gov:443/job/854565700,2026-01-15T00:00:00.0000,active
CATERING MANAGER NF-03 RFT (LOCAL COMMUTING AREA),U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,20.0,22.65,usajobs,https://www.usajobs.gov:443/job/854565800,2026-01-15T00:00:00.0000,active
MANAGEMENT AND PROGRAM ASSISTANT,U.S. Marine Corps,"Iwakuni, Japan","Iwakuni, Japan",,37937.0,50428.0,usajobs,https://www.usajobs.gov:443/job/854801500,2026-01-20T00:00:00.0000,active
